id,대분류코드,대분류명,항목,파일명,검색키워드,보유확장자,링크
295,03_T라운지,T라운지,AD7_차량(대형버스),AD7_차량(대형버스)_CMYK,"T라운지, 대형버스, 차량",AI(1),https://drive.google.com/drive/folders/1-n5hvS-RrLlectWyDTqbYbovfN_Bleho?usp=sharing
296,03_T라운지,T라운지,SS1_티라운지설치물로고,SS1_티라운지설치물로고_PANTONE,"T라운지, 티라운지설치물로고",AI(1),https://drive.google.com/drive/folders/1cALsrNzWlef0_4h4UzpFpI3ey3PWmdQE?usp=sharing
297,03_T라운지,T라운지,SS2_현판사인,SS2_현판사인_PANTONE,"T라운지, 현판사인",AI(3),https://drive.google.com/drive/folders/12KBCau_52sy96-zk_RfFLxBwLGu6Nzpe?usp=sharing
298,03_T라운지,T라운지,SS3_입구간판,SS3_입구간판_PANTONE,"T라운지, 입구간판",AI(1),https://drive.google.com/drive/folders/1JJflLGD2cN4BnkDqUL9YdRMMb61fti27?usp=sharing
299,03_T라운지,T라운지,SS4_윈도우그래픽,SS4_윈도우그래픽_PANTONE,"T라운지, 윈도우그래픽",AI(1),https://drive.google.com/drive/folders/1qYH3lxjz1_p9hCJ03GQ_3lfPtjr1irbW?usp=sharing
300,04_T데스크,T데스크,BS1_심벌마크,BS1_심벌마크_PANTONE,"T데스크, 심벌마크","AI(1), PNG(2)",https://drive.google.com/drive/folders/19Nm_coEvaTRhTeVVlfkFCHYMBDP3OAmZ?usp=sharing
301,04_T데스크,T데스크,BS1_심벌마크,BS1_심벌마크_CMYK,"T데스크, 심벌마크","AI(1), PNG(2)",https://drive.google.com/drive/folders/19Nm_coEvaTRhTeVVlfkFCHYMBDP3OAmZ?usp=sharing
302,04_T데스크,T데스크,BS1_심벌마크,BS1_심벌마크_RGB,"T데스크, 심벌마크","AI(1), PNG(2)",https://drive.google.com/drive/folders/19Nm_coEvaTRhTeVVlfkFCHYMBDP3OAmZ?usp=sharing
303,04_T데스크,T데스크,BS3_로고,BS3_로고_PANTONE,"T데스크, 로고","AI(1), PNG(4)",https://drive.google.com/drive/folders/1Prp1znFrVg90bu0aWL3rUElQf23qkLyM?usp=sharing
304,04_T데스크,T데스크,BS3_로고,BS3_로고_CMYK,"T데스크, 로고","AI(1), PNG(4)",https://drive.google.com/drive/folders/1Prp1znFrVg90bu0aWL3rUElQf23qkLyM?usp=sharing
305,04_T데스크,T데스크,BS3_로고,BS3_로고_RGB,"T데스크, 로고","AI(1), PNG(4)",https://drive.google.com/drive/folders/1Prp1znFrVg90bu0aWL3rUElQf23qkLyM?usp=sharing
306,04_T데스크,T데스크,AS1_명함,AS1_명함_PANTONE,"T데스크, 명함",AI(1),https://drive.google.com/drive/folders/1ngWmVAqbPRrQ_oiNLnubWEITMyIRcOF0?usp=sharing
307,04_T데스크,T데스크,AS1_명함,AS1_명함_CMYK,"T데스크, 명함",AI(1),https://drive.google.com/drive/folders/1ngWmVAqbPRrQ_oiNLnubWEITMyIRcOF0?usp=sharing
308,04_T데스크,T데스크,AS2_소봉투,AS2_소봉투_PANTONE,"T데스크, 소봉투",AI(1),https://drive.google.com/drive/folders/1tzMxtNjPLV7YBDtoyt5pW8nR47D0Czsh?usp=sharing
309,04_T데스크,T데스크,AS2_소봉투,AS2_소봉투_CMYK,"T데스크, 소봉투",AI(1),https://drive.google.com/drive/folders/1tzMxtNjPLV7YBDtoyt5pW8nR47D0Czsh?usp=sharing
310,04_T데스크,T데스크,AS3_대봉투,AS3_대봉투_PANTONE,"T데스크, 대봉투",AI(1),https://drive.google.com/drive/folders/1Z1X9kCnQB6ajXPbDCT_cUoOF_46Y1U5_?usp=sharing
311,04_T데스크,T데스크,AS3_대봉투,AS3_대봉투_CMYK,"T데스크, 대봉투",AI(1),https://drive.google.com/drive/folders/1Z1X9kCnQB6ajXPbDCT_cUoOF_46Y1U5_?usp=sharing
