ID,질문,키워드,답변,링크
1,하나투어 브랜드 컬러 및 강조색상 규정이 어떻게 되나요?,컬러 메인컬러 퍼플 민트 색상 헥스 HEX RGB CMYK PANTONE 포인트컬러 포인트컬러 규정 보완컬러 대표색상 색상비율 강조색상 강조 색상,"하나투어 브랜드 컬러 규정입니다. 퍼플(#5E2BB8), 민트(#08D1D9), 블랙(#000000), 화이트(#FFFFFF)를 기본으로 하며 메인 컬러는 40% 이상, 강조색상(포인트 컬러)은 15% 미만이어야 합니다.",https://hanatour0.sharepoint.com/:b:/s/msteams_7d230d/IQCW09j1uWNaRYjTsAvIMShgAag2mDUE_WHjPN3aw72BXdA?e=fxGT7P
2,하나투어 공식 폰트 및 지정 서체 다운로드는 어디서 하나요?,폰트 서체 글꼴 여행그자체 본고딕 Inter 지정서체 폰트다운로드 서체다운로드,"공식 서체 '여행그자체'는 브랜드마케팅팀 이승현G(6725)에게 문의해 주시고, 지정 서체 국문 '본고딕' / 영문 'Inter'는 다운로드 링크에서 확인하실 수 있습니다.",https://drive.google.com/drive/folders/1ijPYwDnEv3xB9feJThyVdngzjZoBeAwX?usp=drive_link
3,SNS 운영 가이드 및 4대 원칙이 무엇인가요?,SNS 소셜미디어 인스타그램 유튜브 페이스북 4대원칙 밈금지 차별금지 쟁점배제 법적리스크 운영수칙,"SNS 콘텐츠 제작 및 운영 시 4대 원칙 (1. 쟁점배제 2. 차별금지 3. 밈금지 4. 법적리스크)을 엄격히 적용해야 합니다.",https://sam.hanatour.co.kr/cst/hana/bbs/usr.read.jsp?id=2243715
4,CI BI 에셋 등 브랜드 용어 설명을 해주세요.,용어 CI BI 에셋 시그니처 워드마크 보호영역 DMC 시안 별색 팬톤 비즈링 용어풀이,"• CI: 회사 대표 로고·식별 체계\n• BI: 특정 브랜드/서비스 단위 로고 체계\n• 에셋: 로고·이미지·폰트 등 파일 자료\n• 시그니처: 로고+회사명 조합\n• 워드마크: 글자로 된 로고\n• 보호영역: 로고 주변 필수 여백\n• DMC: 현지 여행 협력사\n• 별색/팬톤: 지정된 고유 인쇄 색상",
5,브랜드 검수 및 브랜드 규정 관련 담당자는 누구인가요?,담당자 문의 검수 이승현 백솜이 천성해 내선 연락처 전화번호 문의처,"• 브랜드 검수·디자인: 이승현G 선임 (내선 6725) / 백솜이 선임 (내선 7051)\n• 수상인증·비즈링·브랜드체계: 천성해 선임 (내선 1911)",
6,하나투어 로고 CI/BI 규정 및 다운로드는 어떻게 하나요?,로고 CI BI 심볼 워드마크 변형금지 로고파일 AI PNG 흑백로고,"하나투어 로고는 임의 변형(색·비율·회전)이 금지되며 대표 색상(퍼플)과 흑백만 적용 가능합니다. AI의 로고/텍스트 임의 생성도 불가합니다.",https://drive.google.com/drive/folders/1OKh9Wc0-cWhVVqOqXahnI0bjyBSUUVLU?usp=sharing
7,강조색상(포인트 컬러) 규정이 무엇인가요?,강조색상 강조 색상 포인트컬러 포인트 컬러 15% 미만 보완컬러,"강조 색상(= 포인트 컬러)은 대표·확장 색상을 보조하는 역할이며, 강조 색상만 단독으로 사용하는 것은 불가합니다. 대표·확장 색상과 함께 쓸 때 강조 색상은 면적의 15% 미만이어야 합니다. 배경에는 사용 불가하며 텍스트, 아이콘, 라벨, 포인트 그래픽 등 포인트 요소에만 사용합니다.",https://hanatour0.sharepoint.com/:b:/s/msteams_7d230d/IQCW09j1uWNaRYjTsAvIMShgAag2mDUE_WHjPN3aw72BXdA?e=fxGT7P
