ID,질문,키워드,답변,링크
201,대리점 및 매장 간판 설치 CI 사용 규정,간판 대리점간판 간판규정 간판설치 CI간판 사인시스템 매장간판 공식인증예약센터간판,"하나투어 대리점 및 매장 유형별 간판 제작 및 CI 사용 규정을 안내해 드립니다. 공식인증예약센터만 CI 간판 사용이 가능하며 일반 대리점 및 해외 DMC는 CI 사용이 불가능합니다.",https://drive.google.com/drive/folders/1kne86RM4MgaVIaugm7sEBz2VzMjoTGKl?usp=sharing
202,공식인증예약센터 템플릿 및 홍보물 양칙 규정,대리점템플릿 대리점디자인 대리점양식 대리점홍보물 대리점PPT 홍보물양식 홍보물템플릿,"공식인증예약센터의 브랜드 가치를 높이고 홍보물 제작 효율성을 향상시키기 위해 개발된 공식 PPT 템플릿입니다.",https://drive.google.com/drive/folders/1tZMcO90Ao0zpjXFUJMkYpDZdSNb-Z3BK?usp=sharing
203,사인시스템 SS2 현판사인 다운로드,SS2 현판사인 사인요소 간판에셋,"SS2 현판사인 제작용 디자인 에셋 다운로드 링크입니다.",https://drive.google.com/drive/folders/1kne86RM4MgaVIaugm7sEBz2VzMjoTGKl?usp=sharing
204,사인시스템 SS3 윈도우그래픽 다운로드,SS3 윈도우그래픽 창문 시트지,"SS3 윈도우그래픽 디자인 에셋 다운로드 링크입니다.",https://drive.google.com/drive/folders/1kne86RM4MgaVIaugm7sEBz2VzMjoTGKl?usp=sharing
205,사인시스템 SS7 조합형로고 간판다운로드,SS7 조합형로고 간판류 로고간판,"SS7 조합형로고 간판 에셋 다운로드 링크입니다.",https://drive.google.com/drive/folders/1kne86RM4MgaVIaugm7sEBz2VzMjoTGKl?usp=sharing
206,사인시스템 SS12 가로입체BAR형 간판다운로드,SS12 가로입체BAR형 입체간판 바간판,"SS12 가로입체BAR형 간판 에셋 다운로드 링크입니다.",https://drive.google.com/drive/folders/1kne86RM4MgaVIaugm7sEBz2VzMjoTGKl?usp=sharing
